,grp_cln,AME,AMO hors CMU-C,CMU-C,SUV,SUV_vs_AME,suv_ame_ic_le,suv_ame_ic_he,SUV_vs_CMUC,suv_cmuc_ic_le,suv_cmuc_ic_he,AME_vs_CMUC,ame_cmuc_ic_le,ame_cmuc_ic_he,AME_vs_AMO,ame_amo_ic_le,ame_amo_ic_he,SUV_vs_AMO,suv_amo_ic_le,suv_amo_ic_he,CMUC_vs_AMO,cmuc_amo_ic_le,cmuc_amo_ic_he,range_suv_ame,range_suv_cmuc,range_ame_cmuc,range_ame_amo,range_suv_amo,range_cmuc_amo
1,1,2575.425184314566,2483.932195487943,2488.992954485838,2685.2354057211082,109.81022140654204,63.579324065158076,127.98910711793853,196.24245123527044,157.16541455008445,217.0578772622818,86.4322298287284,68.86762294758273,101.89710557355156,91.49298882662333,76.04322570317171,100.574355746268,201.30321023316537,164.832721199589,219.14046526624833,5.060758997894936,-21.45892953319629,5.847225394336497,64.40978305278045,59.89246271219736,33.029482625968825,24.531130043096283,54.307744066659325,27.306154927532788
2,2,678.7617924991965,665.1846532102384,755.6329462351603,1020.0105304074998,341.24873790830327,290.8235109716991,393.16859513026657,264.37758417233954,193.13976535468402,293.6446462902141,-76.87115373596373,-88.98930057860422,-66.01924340090646,13.577139288958165,8.89458472032468,27.463175971566727,354.82587719726143,301.57909114180967,385.51921184626866,90.4482930249219,73.36147847385587,91.80924387816427,102.34508415856749,100.50488093553008,22.970057177697754,18.568591251242047,83.94012070445899,18.4477654043084
3,3,4193.545655307439,3987.4261643500818,4056.8209861560686,4534.033471958784,340.4878166513445,285.52925359022856,463.15435680329153,477.21248580271504,436.92474571771857,610.9469572945787,136.72466915137056,96.23290637580905,199.12298740115634,206.11949095735736,157.98094436190277,222.69943530037236,546.6073076087018,547.9160187088016,730.4939576360314,69.3948218059868,27.389545894021794,106.17653230339086,177.62510321306297,174.02221157686017,102.89008102534729,64.71849093846959,182.57793892722975,78.78698640936906
4,4,984.4302992222821,988.8159100857434,982.4359607970995,998.5673912010137,14.137091978731632,12.73136023608833,15.875454643156365,16.131430403914237,14.425415224443412,17.335952951465565,1.9943384251826046,0.6010191456775866,3.464103962137834,-4.385610863461352,-5.92437827933249,-3.1264203528014995,9.75148111527028,8.305035169179769,11.268079632331618,-6.379949288643957,-7.4356364616228605,-4.813450718602955,3.1440944070680352,2.9105377270221524,2.8630848164602476,2.797957926530991,2.9630444631518493,2.622185743019905
5,5,967.8511070858874,809.4138361112886,905.9787501646473,1276.8704663301078,309.01935924422037,297.99914882121834,402.77431244530885,370.8917161654605,293.7968949586283,396.3880012778865,61.87235692124011,46.696515009205626,93.43809110111346,158.43727097459885,144.8318572690128,195.98821737361334,467.4566302188192,413.28584321654546,503.009546712109,96.56491405335873,97.6132933844573,142.5368423580993,104.77516362409051,102.59110631925819,46.74157609190783,51.15636010460054,89.72370349556354,44.92354897364201
6,6,3360.1815935428795,3320.418205031264,3347.460465805217,3524.4919890652036,164.31039552232414,105.38957354646263,299.9617615925048,177.03152325998644,-32.227905690550195,155.9043945685908,12.7211277376623,-66.62008851870706,110.26492679078947,39.76338851161563,60.60322989249637,241.96283347412873,204.07378403393977,63.10781276459632,260.698992131033,27.04226077395333,-45.94675714109262,110.5704850662738,194.57218804604216,188.13230025914098,176.88501530949654,181.35960358163237,197.59117936643668,156.51724220736642
7,7,989.6866612191886,1029.4020032978442,1013.5811795465843,1015.7901487155282,26.10348749633954,1.014112142113806,35.23009519013772,2.208969168943895,-29.36646267393322,5.742373252792206,-23.894518327395645,-26.569936906412348,-21.406830367417623,-39.71534207865557,-40.797305595830366,-35.40593530711425,-13.611854582316028,-20.106679751760847,19.445112485874386,-15.820823751259923,-14.96434974170018,-9.940105603091967,34.215983048023915,35.108835926725426,5.163106538994725,5.391370288716118,39.55179223763523,5.024244138608214
8,8,5470.885668298277,1508.4476462631694,1928.0056103374443,7362.529218851602,1891.6435505533254,1865.6537930209477,3943.81770644101,5434.523608514158,4959.530408984139,6715.78223688439,3542.8800579608323,3202.2439929696216,3691.915463535495,3962.4380220351077,3643.9214231167284,4116.59948462399,5854.081572588433,4814.690688110037,6332.955001047871,419.5579640742749,365.0771931558148,556.0647952930573,2078.1639134200623,1756.2518279002506,489.6714705658733,472.67806150726165,1518.264312937834,190.98760213724245
9,9,10617.373199763746,3997.9735503651495,5677.901666285027,12288.01602742604,1670.6428276622937,640.8666562954995,4416.677941826881,6610.1143611410125,3346.0496974235366,6776.87131353663,4939.471533478719,4059.110027427386,5455.714878131955,6619.399649398596,6103.563429705339,6995.826395995923,8290.04247706089,5059.273721658041,8070.12171946763,1679.9281159198777,813.1412846728355,1895.2597151823975,3775.811285531381,3430.821616113093,1396.604850704569,892.2629662905838,3010.8479978095893,1082.1184305095621
10,10,869.1673910145594,825.7953487085402,882.6854532686704,957.9063732956276,88.73898228106827,-22.49553415927332,278.66747779730974,75.22092002695729,-194.13880244891493,220.1619674431078,-13.518062254110987,-13.049187374166909,29.318691690736397,43.372042306019125,37.013561705127586,69.81325190598609,132.1110245870874,-15.470845201886092,177.44634264947882,56.89010456013011,38.51138925406502,90.68592909515272,301.1630119565831,414.30076989202274,42.367879064903306,32.79969020085851,192.91718785136493,52.17453984108769
11,11,2112.730465285265,1957.2615819500895,1911.3751787045248,2178.862382669079,66.1319173838142,-666.7722756951304,541.3864951576874,267.4872039645543,-224.00197938383803,559.3168819536877,201.35528658074008,140.58493042273614,448.6229772104155,155.4688833351754,-36.34610695634176,202.7589866992139,221.6008007189896,50.020324932173935,934.1124998945071,-45.88640324556468,-213.09801131231097,-5.61776757253989,1208.1587708528177,783.3188613375257,308.0380467876794,239.10509365555566,884.0921749623332,207.48024373977108
12,12,1292.32914807003,1393.7133379127204,1454.3967941139088,1099.2968406309062,-193.03230743912377,-220.63439833476463,36.81161052256641,-355.09995348300254,-379.6723693279554,-109.50496438626172,-162.06764604387877,-192.153690065262,-80.50324849247525,-101.38418984269038,-181.19557359490378,-73.32750110355354,-294.41649728181415,-378.1510581975208,-148.04994630936335,60.68345620118839,28.048874235098545,124.32555365537692,257.44600885733104,270.1674049416937,111.65044157278675,107.86807249135023,230.10111188815745,96.27667942027838
13,13,2273.9917008337125,2097.6632543154265,2255.953455728405,3013.0140323087653,739.0223314750529,520.0954004064909,843.6318955810516,757.0605765803602,553.5788615972363,881.4069129394068,18.038245105307396,-24.559986417821136,97.56222307587262,176.328446518286,108.89312182791596,243.82558380989624,915.3507779933389,857.0860269747182,1182.1667066986158,158.2902014129786,36.52081283855719,159.10627311218482,323.53649517456074,327.8280513421705,122.12220949369376,134.93246198198028,325.0806797238977,122.58546027362763
14,14,1727.2108539373517,1542.3253848190504,1653.598534638033,1822.198455625963,94.98760168861145,45.73697753139534,244.35116020410243,168.5999209879301,71.88550842122433,237.26455105815515,73.61231929931864,24.045038749034536,83.90054902277537,184.88546911830122,165.57200434218032,212.40203793393135,279.87307080691266,192.2483253929651,355.2332414093833,111.27314981898257,108.05884059047094,153.50960056883923,198.6141826727071,165.37904263693082,59.85551027374083,46.83003359175103,162.9849160164182,45.450759978368296
15,15,1363.1566534953267,1344.62225128639,1265.9251269096958,1812.8915138430398,449.73486034771304,313.6198174807774,588.0119611683951,546.966386933344,357.5850840561302,756.5359302175448,97.23152658563095,40.96628608535161,220.39980078409275,18.534402208936626,-92.11905734884351,18.7808661020766,468.26926255664966,331.41577387605804,711.8838658938164,-78.69712437669432,-85.1234000010983,-7.197276328913951,274.39214368761776,398.9508461614146,179.43351469874113,110.89992345092011,380.46809201775835,77.92612367218436
16,16,1633.9592122201643,1589.2924226434525,1613.7311419088035,4120.050742419702,2486.091530199538,91.92413599403608,5476.7782116270555,2506.3196005108985,-674.6266221335932,4648.140991984175,20.228070311360852,5.906386208384568,56.18424262799732,44.666789576711835,32.1897830001889,66.88576417151273,2530.7583197762497,-629.8667983481287,4707.255373512033,24.438719265350983,10.3822051090939,30.844875743128835,5384.854075633019,5322.767614117769,50.27785641961275,34.69598117132383,5337.122171860161,20.462670634034936
17,17,2332.284643993969,2066.4974206161937,2015.3233547428842,2871.244068214051,538.9594242200819,470.4674269376352,865.2231438125408,855.9207134711667,559.4328910217528,947.1778077447884,316.96128925108474,243.4695187914839,512.8261081612487,265.78722337777526,154.376091396262,403.5384698343905,804.7466475978572,659.6036220407516,1041.094193697454,-51.17406587330947,-248.85231136094268,-35.54394538560295,394.7557168749056,387.74491672303566,269.35658936976483,249.1623784381285,381.4905716567025,213.3083659753397
18,18,963.5868356816574,903.6025583380124,950.8575278659406,1050.960765412189,87.37392973053159,-24.538487622743233,123.34300365635279,100.10323754624835,45.28106816907193,193.61859068329676,12.729307815716766,-1.723644918047345,34.356783990818656,59.984277343644976,45.225990292055315,82.84401647636847,147.35820707417656,77.80134075684204,227.49159572871986,47.25496952792821,25.863510276397726,63.61263684529441,147.88149127909602,148.33752251422482,36.080428908866,37.61802618431315,149.69025497187783,37.749126568896685
